id,eng,ar1,ar2
e1      ,THE OPTICS OF IBN AL-HAYTHAM,"كتاب: المناظر، لابن الهيثم","كتاب: المناظر، لابن الهيثم"
e2      ,BOOK I ON THE MANNER OF VISION IN GENERAL,المقالة الأولى: كيفية الإبصار بالجملة,المقالة الأولى: كيفية الإبصار بالجملة
e3      ,CHAPTER 1: PREFACE TO THE [WHOLE] BOOK,الفصل الأول: صدر الكتاب,الفصل الأول: صدر الكتاب
e4      ,"Early investigators diligently pursued the inquiry into the manner of visual sensation and applied their thoughts and effort to it, eventually reaching the limit to which their investigation had led, and gaining as much knowledge of this matter as their inquiry and judgement had yielded.","إن المتقدمين من أهل النظر قد أمعنوا البحث عن كيفية إحساس البصر، وأعملوا فيه أفكارهم، وبذلوا فيه اجتهادهم، وانتهوا منه إلى الحد الذي وصل النظر إليه، ووقفوا منه على ما وقفهم البحث والتمييز عليه.","إن المتقدمين من أهل النظر قد أمعنوا البحث عن كيفية إحساس البصر، وأعملوا فيه أفكارهم، وبذلوا فيه اجتهادهم، وانتهوا منه إلى الحد الذي وصل النظر إليه، ووقفوا منه على ما وقفهم البحث والتمييز عليه."
e5      ,"Nevertheless, their views on the nature of vision are divergent and their doctrines regarding the manner of sensation not concordant. Thus, perplexity prevails, certainty is hard to come by, and there is no assurance of attaining the object of inquiry. How strong, in addition to all this, is the excuse for the truth to be confused, and how manifest is the proof that certainty is difficult to achieve!","ومع هذه الحال فآرائهم في حقيقة الإبصار مختلفة، ومذاهبهم في هيئة الإحساس غير متفقة، فالحيرة متوجهة، واليقين متعذر والمطلوب غير موثوق بالوصول إليه.","ومع هذه الحال فآرائهم في حقيقة الإبصار مختلفة، ومذاهبهم في هيئة الإحساس غير متفقة، فالحيرة متوجهة، واليقين متعذر والمطلوب غير موثوق بالوصول إليه."
e6      ,"For the truths are obscure, the ends hidden, the doubts manifold, the minds turbid, the reasonings various; the premisses are gleaned from the senses, and the senses (which are our tools) are not immune from error.","فالحقائق غامضة، والغايات خفية، والشبهات كثيرة، والأفهام كدرة، والمقاييس مختلفة، والمقدمات ملتقطة من الحواس، والحواس التي هي العدد غير مأمونة الغلط.","فالحقائق غامضة، والغايات خفية، والشبهات كثيرة، والأفهام كدرة، والمقاييس مختلفة، والمقدمات ملتقطة من الحواس، والحواس التي هي العدد غير مأمونة الغلط."
e7      ,"The path of investigation is therefore obliterated and the inquirer, however diligent, is not infallible. Consequently, when inquiry concerns subtle matters, perplexity grows, views diverge, opinions vary, conclusions differ and certainty becomes difficult to obtain.","فطريق النظر معفى الأثر، والباحث المجتهد غير معصوم من الزلل، فلذلك تكثر الحيرة عند المباحث اللطيفة، وتتشتت الآراء، وتفترق الظنون، وتختلف النتائج، ويتعذر اليقين.
","فطريق النظر معفى الأثر، والباحث المجتهد غير معصوم من الزلل، فلذلك تكثر الحيرة عند المباحث اللطيفة، وتتشتت الآراء، وتفترق الظنون، وتختلف النتائج، ويتعذر اليقين.
"
e8      ,"Our subject is obscure and the way leading to knowledge of its nature difficult; moreover, our inquiry requires a combination of the natural and the mathematical sciences.",وفي هذا البحث عن هذا المعنى مع غموضه وصعوبة الطريق إلى معرفة حقيقته مركب من العلوم الطبيعية والعلوم التعليمية.,وفي هذا البحث عن هذا المعنى مع غموضه وصعوبة الطريق إلى معرفة حقيقته مركب من العلوم الطبيعية والعلوم التعليمية.
e9      ,It is dependent on the natural sciences because vision is one of the senses and these belong to natural things.,"أما تعلقه بالعلم الطبيعي فلأن الإبصار أحد الحواس، والحواس من الأمور الطبيعية.","أما تعلقه بالعلم الطبيعي فلأن الإبصار أحد الحواس، والحواس من الأمور الطبيعية."
e10  ,"It is dependent on the mathematical sciences because sight perceives shape, position, magnitude, movement and rest, in additionto its being characterized by straight lines; and since it is the mathematical sciences that investigate these things, the inquiry into our subject truly combines the natural and the mathematical sciences.","وأما تعلقه بالعلوم التعليمية فلأن البصر يدرك الشكل والوضع والعظم والحركة والسكون، وله مع ذلك تخصص بالسموت المستقيمة، والبحث عم هذه المعاني إنما يكون بالعلوم التعليمية. فبحق صار البحث عن المعنى مركباً من العلوم الطبيعية والعلوم التعليمية.
","وأما تعلقه بالعلوم التعليمية فلأن البصر يدرك الشكل والوضع والعظم والحركة والسكون، وله مع ذلك تخصص بالسموت المستقيمة، والبحث عم هذه المعاني إنما يكون بالعلوم التعليمية. فبحق صار البحث عن المعنى مركبا من العلوم الطبيعية والعلوم التعليمية.
"
